id,name,released,rating,metacritic,playtime,platforms,genres,stores,tags,esrb_rating
127,Half-Life 2: Episode Two,2007-10-09,4.45,90,5,"{Android,Linux,macOS,PC,""Xbox 360""}","{Action,Shooter,Puzzle}","{Steam,""Google Play""}","{Singleplayer,""Steam Achievements"",Multiplayer,""Steam Cloud"",Atmospheric,""Great Soundtrack"",""Story Rich"",First-Person,Sci-fi,""Partial Controller Support"",Horror,FPS,Classic,stats,Zombies,Post-apocalyptic,""Captions available"",Aliens,Dystopian,""Commentary available"",Episodic,""Includes Source SDK"",""Silent Protagonist""}",Mature
128,BioShock 2,2010-02-08,4.07,88,3,"{""PlayStation 4"",""Xbox One"",""Nintendo Switch"",PC,macOS,""Xbox 360"",""PlayStation 3""}","{Action,Shooter}","{""App Store"",""Xbox Store"",Steam,""PlayStation Store"",""Xbox 360 Store""}","{Singleplayer,""Steam Achievements"",Multiplayer,""Full controller support"",Atmospheric,""Great Soundtrack"",RPG,""Story Rich"",First-Person,Sci-fi,Horror,FPS,""Action RPG"",Dark,Dystopian,Steampunk,Linear,Underwater,Philisophical}",
129,Hollow Knight,2017-02-22,4.4,88,6,"{""PlayStation 4"",Linux,macOS,PC,""Nintendo Switch"",""Xbox One""}","{Action,Indie,Platformer}","{Steam,GOG,""Nintendo Store"",""Xbox Store"",""PlayStation Store""}","{Singleplayer,""Steam Achievements"",""Full controller support"",""Steam Cloud"",Atmospheric,steam-trading-cards,""Great Soundtrack"",""Story Rich"",""Open World"",2D,Difficult,Exploration,Controller,""controller support"",Cute,""Side Scroller"",""Dark Fantasy"",""Multiple Endings"",Metroidvania,Hand-drawn,Gothic}",Everyone 10+
130,Little Nightmares,2017-04-26,4.04,81,3,"{""PlayStation 4"",PC,""Xbox One"",""Nintendo Switch""}","{Action,Platformer}","{""PlayStation Store"",Steam,GOG,""Xbox Store""}","{Singleplayer,""Steam Achievements"",""Full controller support"",""Steam Cloud"",Atmospheric,steam-trading-cards,""Great Soundtrack"",""Story Rich"",""Third Person"",Horror,""Female Protagonist"",Stealth,Dark,""controller support"",""Survival Horror"",Short,achievements,Puzzle-Platformer,2.5D}",Teen
131,Hitman,2016-03-10,3.92,83,7,"{""PlayStation 4"",Linux,macOS,PC,""Xbox One""}","{Action,Shooter,Simulation}","{""PlayStation Store"",Steam,""Xbox Store"",""Epic Games""}","{Singleplayer,""Full controller support"",Atmospheric,""Great Soundtrack"",""Story Rich"",""Open World"",""Third Person"",Sandbox,Stealth,Tactical,""Third-Person Shooter"",Nudity,Crime,Assassin,Episodic,Illuminati,Heist}",Adults Only
132,Dark Souls III,2016-04-10,4.4,89,29,"{""Xbox One"",""PlayStation 4"",PC}","{Action,RPG}","{""PlayStation Store"",""Xbox Store"",Steam}","{Singleplayer,""Steam Achievements"",Multiplayer,""Full controller support"",Atmospheric,steam-trading-cards,""Great Soundtrack"",RPG,Co-op,""Story Rich"",""Open World"",cooperative,""Third Person"",Horror,Difficult,Exploration,""Action RPG"",PvP,""Character Customization"",""Replay Value"",""Dark Fantasy"",Lore-Rich}",Mature
133,"Mirror's Edge",2008-11-10,4.07,81,3,"{""Xbox 360"",""PlayStation 3"",PC}",{Action},"{""PlayStation Store"",Steam,GOG,""Xbox 360 Store""}","{Singleplayer,""Full controller support"",Atmospheric,""Great Soundtrack"",First-Person,Sci-fi,""Partial Controller Support"",Classic,""Female Protagonist"",Short,Colorful,Futuristic,Parkour,Dystopian,Stylized,""Time Attack"",european}",Teen
134,Hotline Miami,2012-10-21,4.38,85,5,"{Linux,""Nintendo Switch"",""Xbox One"",""PlayStation 4"",""PS Vita"",PC}","{Action,Shooter,Arcade,Indie}","{GOG,""PlayStation Store"",Steam,""Google Play""}","{Singleplayer,""Steam Achievements"",Atmospheric,steam-trading-cards,""Great Soundtrack"",2D,""Partial Controller Support"",Gore,Difficult,Violent,""Pixel Graphics"",Retro,""controller support"",Fast-Paced,Top-Down,overlay,Music,Surreal,""Top-Down Shooter"",1980s,Psychedelic}",
135,Half-Life,1998-11-07,4.38,96,3,"{Dreamcast,Linux,macOS,PC,""PlayStation 2""}","{Action,Shooter}",{Steam},"{Singleplayer,Multiplayer,Atmospheric,""Great Soundtrack"",""Story Rich"",First-Person,Sci-fi,FPS,Funny,Difficult,Classic,Retro,Moddable,Aliens,""Valve Anti-Cheat enabled"",1990's,Linear,""Silent Protagonist"",""vr mod""}",Mature
136,Outlast,2013-09-02,3.73,80,3,"{Linux,macOS,""Nintendo Switch"",PC,""Xbox One"",""PlayStation 4""}","{Action,Indie}","{""Epic Games"",""PlayStation Store"",""Xbox Store"",GOG,Steam}","{Singleplayer,""Steam Achievements"",""Full controller support"",""Steam Cloud"",Atmospheric,steam-trading-cards,First-Person,Sci-fi,Horror,FPS,Gore,Difficult,Survival,Stealth,Dark,Nudity,""controller support"",""Survival Horror"",""Captions available"",""Walking Simulator"",Parkour,""3D Vision""}",Mature
